;file_name;hyperparameter;profit;elapsed_time;peak_memory;avg_memory;relative_profit
22;set_230650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.19877117243895648, 'max_depth': 3, 'subsample': 0.32799519053135073, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5896,08;232,68;3632,41;3632,29;0,99
229;set_460650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.49124312726008273, 'max_depth': 5, 'subsample': 0.89922740010816, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5896,12;235,85;5000,16;4941,17;0,99
23;set_230650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.19877117243895648, 'max_depth': 3, 'subsample': 0.32799519053135073, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5896,88;232,68;3632,41;3632,29;0,99
206;set_4480650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.4962393503359204, 'max_depth': 5, 'subsample': 0.8892057521861964, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5909,17;214,77;6847,76;6306,72;0,99
207;set_4480650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.4962393503359204, 'max_depth': 5, 'subsample': 0.8892057521861964, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5909,86;214,77;6847,76;6306,72;0,99
9;set_130650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.46556548453631963, 'max_depth': 2, 'subsample': 0.5861533244579811, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5911,17;260,38;3604,57;3560,27;0,99
287;set_5306150_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.48779362384309244, 'max_depth': 6, 'subsample': 0.38118521163616725, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5911,19;263,95;108435,82;12183,57;0,98
298;set_5306200_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.3799733961795298, 'max_depth': 5, 'subsample': 0.4347484230675173, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5911,72;254,10;120741,99;14005,26;0,98
46;set_4120650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.4994045917087667, 'max_depth': 5, 'subsample': 0.316559397942162, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5912,88;229,35;4963,14;4958,67;0,99
293;set_5306200_ANN_simple_SOAp_meta.pkl;[7, 8, 0.003805875432433607, 38, 10, 16, 'sigmoid'];5913,05;5294,21;4931,31;4328,55;0,98
